judul,isi,tanggal,link
Video Pria Menginjak Al-Qur’an di Klub Malam Arab Saudi				,"Lokasi kejadian bukan di Arab Saudi, tetapi Manchester (Inggris).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-video-pria-menginjak-al-quran-di-klub-malam-arab-saudi/
Gambar Bukti Jokowi Lulusan UGM				,"Hasil Periksa Fakta Luthfiyah Gambar pada postingan Facebook merupakan hasil editan. Faktanya, ambar yang asli merupakan acara wisuda Pascasarjana IV Universitas Andalas tahun 2018 dan […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/salah-gambar-bukti-jokowi-lulusan-ugm/
Foto “Seorang Tentara IDF Menyelamatkan Bayi di Gaza”				,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya foto tersebut adalah hasil buatan AI. Pada Maret 2024 lalu, UNICEF menyebut bahwa Israel telah membunuh 13.000 anak di […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/salah-foto-seorang-tentara-idf-menyelamatkan-bayi-di-gaza/
Cristiano Ronaldo Bahas Kecurangan Wasit AFC 2024				,"Hasil periksa fakta Panji Faktanya video tersebut merupakan momen saat Ronaldo sedang menghadiri press conference Liga Champions pada tahun 2018 yang lalu, dapat disimpulkan jika […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/salah-cristiano-ronaldo-bahas-kecurangan-wasit-afc-2024/
Aktor Amerika Memberikan Pidato untuk Mendukung Kemerdekaan Palestina				,"Hasil periksa fakta Panji Faktanya di video tersebut Harrison Ford memberikan pernyataannya mengenai pentingnya hutan hujan, pernyataan tersebut ia lontarkan di acara KTT Aksi Iklim […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/salah-aktor-amerika-memberikan-pidato-untuk-mendukung-kemerdekaan-palestina/
Aksi Begal di Kota Tanjung Pinang				,"Hasil periksa fakta Raymondha. Klaim yang mengatakan telah terjadi aksi begal di Kelurahan Dompak, Kecamatan Bukit Bestari, Kota Tanjung Pinang adalah salah. Faktanya aksi begal […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/salah-aksi-begal-di-kota-tanjung-pinang/
Raffi Ahmad Iklankan Situs Judi di BeritaSatu				,Hasil periksa fakta Panji Faktanya video tersebut merupakan hasil dengan menggabungkan dua video berbeda dan memakai teknologi AI untuk mengubah suara dari Raffi Ahmad dan […],"Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-raffi-ahmad-iklankan-situs-judi-di-beritasatu/
Raffi Ahmad Akui Mendirikan Bisnis Situs Judi di Mata Najwa				,Hasil periksa fakta Panji Faktanya video tersebut merupakan hasil editan dengan memakai teknologi AI untuk mengubah suara dari Raffi Ahmad dan Najwa Shihab seolah sedang […],"Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-raffi-ahmad-akui-mendirikan-bisnis-situs-judi-di-mata-najwa/
Prabowo Berbagi Speaker Bluetooth Sebagai Rasa Syukur Menang Pilpres				,"Hasil periksa fakta Vendra Panji Faktanya video tersebut merupakan hasil editan mengubah suara memakai teknologi AI, sehingga seakan-akan Prabowo benar berbicara mengenai pemberian speaker bluetooth […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-prabowo-berbagi-speaker-bluetooth-sebagai-rasa-syukur-menang-pilpres/
Link Pendaftaran Gebyar Undian Berhadiah Bank Kalsel Bagi Semua Nasabah yang Sudah Menggunakan m-Banking				,Hasil periksa fakta Moch. Marcellodiansyah Bank Kalsel pada postingan resminya telah membantah adanya undian berhadiah tersebut. Bank Kalsel telah menghimbau agar masyarakat tidak membagikan data […],"Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-link-pendaftaran-gebyar-undian-berhadiah-bank-kalsel-bagi-semua-nasabah-yang-sudah-menggunakan-m-banking/
"Jusuf Hamka Berikan 20 Juta Khusus Nasabah BRI, BNI, BCA, dan Mandiri				","Hasil periksa fakta Panji Tidak benar bahwa Jusuf Hamka membagikan uang untuk nasabah BRI, BNI, BCA, dan Mandiri, akun yang mengatasnamakan Jusuf Hamka tersebut dapat […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-jusuf-hamka-berikan-20-juta-khusus-nasabah-bri-bni-bca-dan-mandiri/
Inul Daratista Gelar Giveaway dengan Kuis Tebak Daerah Asalnya				,"Hasil periksa fakta Vendra Panji Akun bernama “Insul Daratista” ini merupakan akun tiruan dan dapat diindikasi sebagai modus untuk melakukan penipuan, akun Facebook Inul yang […]","Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-inul-daratista-gelar-giveaway-dengan-kuis-tebak-daerah-asalnya/
BNI Buka Ajuan Pinjaman Tanpa Jaminan di Tiktok				,Hasil periksa fakta Vendra Panji Tidak benar adanya sebuah akun Tiktok yang mengatasnamakan BNI. Akun tersebut berisikan konten mengenai pinjaman online hanya dengan menghubungi nomor […],"Mei 20, 2024",https://turnbackhoax.id/2024/05/20/penipuan-bni-buka-ajuan-pinjaman-tanpa-jaminan-di-tiktok/
"VIDEO ” Retno Marsudi, Menandatangani Pelunasan Hutang Negara kepada China”				","Hasil periksa fakta Yudho Ardi Informasi yang menyesatkan, faktanya video tersebut bukanlah proses penandatanganan pelunasan hutang Indonesia ke China melainkan penandatanganan MoU kerjasama antara Negara […]","Mei 19, 2024",https://turnbackhoax.id/2024/05/19/salah-video-retno-marsudi-menandatangani-pelunasan-hutang-negara-kepada-china/
PRABOWO AKUI BOLEH JUAL NEGARA ATAS PERINTAH JOKOWI				,"Hasil periksa fakta Pekik Jalu Utomo.Tidak ditemukan pemberitaan terkait Prabowo akui boleh jual negara atas perintah Jokowi. Selain thumbnail merupakan hasil manipulasi, video tersebut hanya […]","Mei 19, 2024",https://turnbackhoax.id/2024/05/19/salah-prabowo-akui-boleh-jual-negara-atas-perintah-jokowi/
Penularan HIV Melalui Tester Lipstik				,"Hasil periksa fakta Arief Putra Ramadhan. HIV tidak menular melalui peralatan makanan, pakaian, handuk, sapu tangan, kosmetik, toilet yang dipakai secara bersama-sama, ciuman pipi, berjabat […]","Mei 18, 2024",https://turnbackhoax.id/2024/05/18/salah-penularan-hiv-melalui-tester-lipstik/
"MOBIL JOKOWI DIHADANG MASSA, RAKYAT MINTA JOKOWI MUNDUR				",Hasil periksa fakta Pekik Jalu Utomo.Faktanya tidak ditemukan pemberitaan terkait mobil Jokowi dihadang massa dan rakyat minta Jokowi mundur. Video tersebut hanya berisi cuplikan dari […],"Mei 18, 2024",https://turnbackhoax.id/2024/05/18/salah-mobil-jokowi-dihadang-massa-rakyat-minta-jokowi-mundur/
WN Rusia Dideportasi karena Bantu Tangkap Mafia Narkoba				,Hasil periksa fakta Raymondha Elsha Klaim mengenai WN Rusia mengaku dideportasi karena membantu menangkap mafia narkoba adalah salah. Faktanya WN Rusia berinisial AK dideportasi karena […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-wn-rusia-dideportasi-karena-bantu-tangkap-mafia-narkoba/
Wasit Aidil Resmi Pimpin Pertandingan Persib vs Bali United				,"Periksa Fakta Vania. Faktanya, wasit utama yang memimpin pertandingan Persib vs Bali United adalah Heru Cahyono, bukan Aidil Azmi.  =====     KATEGORI: Konteks yang Salah =====     Sumber: […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-wasit-aidil-resmi-pimpin-pertandingan-persib-vs-bali-united/
Video Gunung Merapi yang Meletus				,"Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video tersebut diambil saat gunung Sinabung meletus tahun 2018, bukan letusan gunung Merapi pada 2023. ===== KATEGORI: […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-video-gunung-merapi-yang-meletus/
Vaksin Covishield Menimbulkan Efek Berupa Sindrom Trombosis dengan Trombositopenia				,Hasil periksa fakta Raymondha Elsha  Klaim yang mengatakan Badan Kesehatan Dunia (WHO) mengkonfirmasi vaksin Covishield menimbulkan efek samping yang mengancam jiwa berupa sindrom trombosis dengan […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-vaksin-covishield-menimbulkan-efek-berupa-sindrom-trombosis-dengan-trombositopenia/
Ustadz Solmed dan Istri Mempromosikan Situs Judi				,Hasil periksa fakta Vendra Panji Faktanya video di Facebook Ustadz mempromosikan sebuah situs judi online yang menjadi salah satu sumber kekayaannya tersebut adalah video yang […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-ustadz-solmed-dan-istri-mempromosikan-situs-judi/
"TIMNAS GUINEA U-23 MELAKUKAN PEMALSUAN UMUR, INDONESIA LOLOS KUALIFIKASI OLIMPIADE PARIS 2024				","Hasil Periksa Fakta Gabriela Nauli Faktanya, pemain yang dituduh melakukan pemalsuan umur, bukanlah pemain yang bertanding pada kesebelasan Timnas Guinea U-23 pada playoff dengan Indonesia […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-timnas-guinea-u-23-melakukan-pemalsuan-umur-indonesia-lolos-kualifikasi-olimpiade-paris-2024/
Tarif Listrik Resmi Naik Mulai Mei 2024				,"Periksa Fakta Vania. Faktanya, Direktur Jenderal Ketenagalistrikan Kementerian Energi dan Sumber Daya Mineral Jisman P Hutajulu mengungkapkan tidak ada kenaikan harga tarif listrik periode triwulan II […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-tarif-listrik-resmi-naik-mulai-mei-2024/
Surat Izin Giveaway Baim Wong dari Polres Metro Jakarta Pusat				,Hasil periksa fakta Vendra Panji Surat izin giveaway dari Polda Metro Jakarta Pusat untuk Baim Wong tersebut adalah informasi yang tidak benar dan dapat digunakan […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-surat-izin-giveaway-baim-wong-dari-polres-metro-jakarta-pusat/
"SUDAH DIPECAT, PRABOWO TETAP MENDAPAT KENAIKAN PANGKAT				","Hasil Periksa Fakta Gabriela Nauli Faktanya, isu mengenai pemecatan Prabowo mengandung kekeliruan. Pemecatan dirinya di masa lalu, merupakan tindakan pemecatan yang dilakukan dengan hormat. Pemberian […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-sudah-dipecat-prabowo-tetap-mendapat-kenaikan-pangkat/
SEMBAKO KENA PAJAK				,"Hasil Periksa Fakta Gabriela Nauli Faktanya, pengenaan pajak terhadap sembako, hanya ditujukan terhadap bahan-bahan yang diimpor atau terhadap bahan-bahan dengan kategori khusus sehingga hanya dinikmati […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-sembako-kena-pajak/
Rutin Minum Es Saat Makan Memicu Kerusakan Ginjal				,Hasil periksa fakta Raymondha Elsha  Klaim yang mengatakan  rutin minum es terutama saat makan dapat merusak ginjal adalah tidak benar. Ahli penyakit dalam di Junior […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-rutin-minum-es-saat-makan-memicu-kerusakan-ginjal/
Raffi Ahmad Promosikan Bisnis Madu Murni di Mata Najwa				,Hasil periksa fakta Panji Faktanya video tersebut merupakan hasil editan dengan memakai teknologi AI supaya seakan-akan Najwa Shihab dan Raffi Ahmad membahas mengenai bisnis madu […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-raffi-ahmad-promosikan-bisnis-madu-murni-di-mata-najwa/
LUHUT IMBAU PENDUKUNG 02 IKUT PINDAH KE IKN AGAR IKN TIDAK SEPI				,"Hasil Periksa Fakta Gabriela Nauli Faktanya, narasi yang terdapat di dalam unggahan tersebut tidak pernah dikeluarkan oleh Luhut maupun TVOne. Selengkapnya ada di penjelasan. =====[KATEGORI]: […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-luhut-imbau-pendukung-02-ikut-pindah-ke-ikn-agar-ikn-tidak-sepi/
"KEMENAG; YANG MENGAKU CUCU RASULULLAH SAW, WAJIB TES DNA TERLEBIH DAHULU				","Hasil Periksa Fakta Gabriela Nauli Faktanya, sampai saat ini, tidak ada komentar apapun dari Kemenag terhadap pengakuan Habib Bahar ini. Selengkapnya ada di penjelasan. ====[KATEGORI]: […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-kemenag-yang-mengaku-cucu-rasulullah-saw-wajib-tes-dna-terlebih-dahulu/
"IJAZAHNYA PALSU, JOKOWI AKAN DIADILI OLEH PBB				","Hasil Periksa Fakta Gabriela Nauli Faktanya, narasi mengenai ijazah palsu milik Jokowi, merupakan hoaks lama yang telah dibantah oleh pihak terkait dan telah diulas oleh […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-ijazahnya-palsu-jokowi-akan-diadili-oleh-pbb/
Giveaway Undian Baim Wong				,"Periksa Fakta Vania. Faktanya, modus penipuan dengan menyertakan nomor wa untuk dihubungi sudah banyak ditemukan. Giveaway yang mereka berikan juga hanya diadakan di Youtube dan akun […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-giveaway-undian-baim-wong/
Gelombang Tinggi 23 Meter Terjang Selat Sunda pada 15 Mei 2024				,Hasil periksa fakta Raymondha Elsha Faktanya isi video tersebut berbeda dengan apa yang diklaim pada judul video mengenai adanya gelombang tinggi 23 meter yang menerjang […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-gelombang-tinggi-23-meter-terjang-selat-sunda-pada-15-mei-2024/
Gebyar Undian Pengguna Aplikasi M-Banking Brimo				,"Hasil periksa fakta Panji Link website yang tertera pada postingan gebyar undian tersebut tidak mengarahkan ke website resmi BRi di https://bri.co.id/, selain itu di media […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-gebyar-undian-pengguna-aplikasi-m-banking-brimo/
"AKIBAT ANGGARAN PENDIDIKAN DIALOKASIKAN UNTUK PROGRAM MAKAN SIANG GRATIS, UI TETAPKAN UANG PANGKAL TERHADAP MAHASISWA REGULER				","Hasil Periksa Fakta Gabriela Nauli Faktanya, penetapan uang pangkal tersebut ditujukan kepada mahasiswa Sarjana 1 reguler yang masuk melalui jalur mandiri. Hal tersebut tidak ada […]","Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-akibat-anggaran-pendidikan-dialokasikan-untuk-program-makan-siang-gratis-ui-tetapkan-uang-pangkal-terhadap-mahasiswa-reguler/
Ahok dan Anies Bergabung untuk Melawan Kaesang dan Bobby Nasution				,Hasil periksa fakta Vendra Panji Faktanya foto yang digunakan dalam thumbnail tersebut berasal dari momen pertemuan Anies dan Ahok di Balaikota Jakarta Pusat pada musim […],"Mei 17, 2024",https://turnbackhoax.id/2024/05/17/salah-ahok-dan-anies-bergabung-untuk-melawan-kaesang-dan-bobby-nasution/
Video Warga yang Menggendong Anaknya Jatuh ke Sungai karena Jembatan Rusak di Indonesia				,"Hasil periksa fakta Moch. Marcellodiansyah Beberapa media asing menyebut bahwa video tersebut berada di Provinsi Chiriquí, Panama. Sebuah akun Facebook asal Kolombia sejak Juni 2022 […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-video-warga-yang-menggendong-anaknya-jatuh-ke-sungai-karena-jembatan-rusak-di-indonesia/
Video Tangkapan Layar Artikel Gelora News Penambang Emas Ilegal di Kalbar Bekerjasama dengan Pengkhianat Negara				,"Hasil Periksa Fakta Luthfiyah 2 dari 4 pada video berisi tangkapan layar artikel Gelora News merupakan hasil editan. Faktanya, tangkapan layar dengan judul “Jadi Otak […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-video-tangkapan-layar-artikel-gelora-news-penambang-emas-ilegal-di-kalbar-bekerjasama-dengan-pengkhianat-negara/
Video Sri Mulyani Mempromosikan Obat Hipertensi				,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya suara dalam video tersebut adalah hasil manipulasi AI, video asli menunjukkan wawancara VOA dengan Sri Mulyani yang membahas tentang […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-video-sri-mulyani-mempromosikan-obat-hipertensi/
Video Ribuan Pasukan Berkuda Memasuki Palestina				,Hasil periksa fakta Rahmah. Hoaks berulang. Faktanya video tersebut merupakan permainan tradisional Bernama Kok-Boru dari Kyrgyzstan. KATEGORI: KONTEN MENYESATKAN ===SUMBER: YouTubehttps://ghostarchive.org/varchive/sw24am3dKss ===NARASI:“Tentara utusan Allah memasuki […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-video-ribuan-pasukan-berkuda-memasuki-palestina/
"Video Penemuan Spesies Ikan Terbaru Berwajah Seperti Manusia di Danau Samsara, Karanji, Mesir				","Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut merupakan hasil buatan AI, selain itu tidak ditemukan adanya Danau Samsara ataupun wilayah bernama Karanji yang diklaim […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-video-penemuan-spesies-ikan-terbaru-berwajah-seperti-manusia-di-danau-samsara-karanji-mesir/
Sandra Dewi Resmi Jadi Tersangka Korupsi Timah Usai Polisi Temukan Sejumlah Uang Miliknya				,Hasil periksa fakta Ainayya. Unggahan video yang mengklaim bahwa Sandra Dewi resmi ditetapkan sebagai tersangka kasus korupsi timah Rp 271 T usai polisi menemukan sejumlah […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-sandra-dewi-resmi-jadi-tersangka-korupsi-timah-usai-polisi-temukan-sejumlah-uang-miliknya/
Sandra Dewi Nekat Kabur Usai Ditetapkan sebagai Tersangka Korupsi Timah 271 T				,Hasil periksa fakta Ainayya. Unggahan video yang mengklaim bahwa Sandra Dewi nekat kabur setelah ditetapkan sebagai tersangka kasus korupsi timah Rp 271 triliun merupakan konten […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-sandra-dewi-nekat-kabur-usai-ditetapkan-sebagai-tersangka-korupsi-timah-271-t/
Ratusan Rumah Hancur Akibat Angin Tornado Di Bangka Belitung				,"Hasil periksa fakta Amanda Rahma Faktanya, tidak benar ratusan rumah di Bangka Belitung rusak akibat tornado pada 15 Mei 2024. Angin kencang yang terjadi pada […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-ratusan-rumah-hancur-akibat-angin-tornado-di-bangka-belitung/
PRABOWO SERANG PDIP HINGGA BERAKHIR RICUH				,"Hasil periksa fakta Pekik Jalu Utomo.Faktanya tidak ditemukan informasi terkait Prabowo serang PDIP hingga berakhir ricuh. Selain thumbnail merupakan hasil manipulasi, video tersebut hanya berisi […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-prabowo-serang-pdip-hingga-berakhir-ricuh/
Prabowo Hadiri Pernikahan Rizky Febian dan Mahalini				,"Hasil periksa fakta Amanda Rahma Faktanya, video yang memperlihatkan Prabowo Subianto bukanlah di acara pernikahan penyanyi Rizky Febian dan Mahalini melainkan acara pernikahan putra dari […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-prabowo-hadiri-pernikahan-rizky-febian-dan-mahalini/
Peristiwa Pembegalan di Cicalengka Pada 7 Mei 2024				,"Hasil periksa fakta Amanda Rahma Faktanya, berita tersebut tidaklah benar. Kepolisian setempat sudah menegaskan bahwa tidak ada pembegalan di Cicalengka pada 7 Mei 2024 melainkan […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-peristiwa-pembegalan-di-cicalengka-pada-7-mei-2024/
Penemuan Buaya di Pelabuhan Paotere Makassar				,"Hasil Periksa Fakta Luthfiyah Informasi penemuan buaya di pelabuhan Paotere Makassar tidak benar. Faktanya, buaya tersebut ditemukan Pulau Sumangga Desa Balo Baloang, Kecamatan Liukang Tangaya, […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-penemuan-buaya-di-pelabuhan-paotere-makassar/
Pemain Real Madrid Vinicius Jr Keturunan Indonesia				,"Hasil periksal fakta Amanda Rahma Faktanya, Vinicius Jr tidak memiliki keturunan Indonesia. Pemain ini lahir di Brazil dan sejak 2022 Vinicius mendapat kewarganegaraan Spanyol. ====[KATEGORI] […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-pemain-real-madrid-vinicius-jr-keturunan-indonesia/
PDIP LENGSERKAN JOKOWI DENGAN TIDAK HORMAT				,Hasil periksa fakta Pekik Jalu Utomo.Informasi menyesatkan. Faktanya tidak ditemukan pemberitaan terkait PDIP lengserkan Jokowi dengan tidak hormat. Video tersebut hanya berisi cuplikan dari beberapa […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-pdip-lengserkan-jokowi-dengan-tidak-hormat/
Panggilan Telepon WhatsApp Mengatasnamakan Kadis PUPR Serang				,Hasil periksa fakta Rahmah. Diskominfo Kabupaten Serang menyatakan nomor tersebut bukan milik Kepala Dinas PUPR Serang. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN ===SUMBER: WHATSAPP ===NARASI:(Narasi Tidak […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-panggilan-telepon-whatsapp-mengatasnamakan-kadis-pupr-serang/
Nomor WhatsApp Sekda Sragen Hargiyanto				,Hasil periksa fakta Rahmah. Kominfo Sragen menegaskan nomor WhatsApp mengatasnamakan Sekda Sragen adalah tidak benar. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN ===SUMBER: WHATSAPP ===NARASI:Assalamuallaikum…wr…wb ===PENJELASAN:Artikel disadur […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-nomor-whatsapp-sekda-sragen-hargiyanto/
MPR Keluarkan Keputusan Tidak Akan Melantik Prabowo-Gibran				,"Hasil periksa fakta Amanda Rahma Faktanya, video tersebut tidak menjelaskan bahwa MPR mengeluarkan putusan untuk tidak melantik Prabowo. Selain itu, Ketua MPR mengatakan bahwa keputusan […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-mpr-keluarkan-keputusan-tidak-akan-melantik-prabowo-gibran/
"Indonesia Melaju ke Paris, Guinea Didiskualifikasi dari Olimpiade Akibat Pemalsuan Usia Pemain				",Hasil periksa fakta Moch. Marcellodiansyah Tidak ditemukan sumber valid yang membenarkan Guinea didiskualifikasi karena pemalsuan umur. FIFA melalui laman resminya menyebut bahwa Guinea resmi masuk […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-indonesia-melaju-ke-paris-guinea-didiskualifikasi-dari-olimpiade-akibat-pemalsuan-usia-pemain/
Harvey Moeis dan Sandra Dewi Jalani Hukuman Mati atas Korupsi Timah 271 T				,Hasil periksa fakta Ainayya. Unggahan video yang mengklaim bahwa Sandra Dewi dan Harvey Moeis telah menjalani hukuman mati atas kasus korupsi timah Rp 271 triliun […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-harvey-moeis-dan-sandra-dewi-jalani-hukuman-mati-atas-korupsi-timah-271-t/
"Gambar Ayah Jokowi, Notomiharjo Tokoh PKI Tionghoa				","Hasil Periksa Fakta Luthfiyah Gambar dengan narasi Notomiharjo tokoh PKI Tionghoa tidak benar. Faktanya, gambar pada postingan adalah gambar Wang Zhen yang merupakan tokoh politikus […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-gambar-ayah-jokowi-notomiharjo-tokoh-pki-tionghoa/
Gambar Anies Baswedan Dilantik Menjadi Jenderal				,"Hasil periksa fakta Amanda Rahma Unggahan tersebut tidaklah benar. Anies Baswedan tidak memiliki riwayat hidup di militer. Selain itu, jenderal di Indonesia yang paling tertinggi […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-gambar-anies-baswedan-dilantik-menjadi-jenderal/
FIFA Bekukan Federasi Sepakbola Guinea (FGF) Akibat Curang Lawan Indonesia				,"Hasil periksa fakta Amanda Rahma Faktanya, video tersebut tidak menyebutkan bahwa Federasi Sepakbola Guinea dibekukan FIFA. Narator dalam video hanya membacakan artikel yang berkaitan tentang […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-fifa-bekukan-federasi-sepakbola-guinea-fgf-akibat-curang-lawan-indonesia/
Covid-19 Sudah Direncanakan oleh Rockefeller Foundation dan Orang yang Divaksin akan Dikontrol AI				,Hasil periksa fakta Moch. Marcellodiansyah Klaim tersebut hanya konspirasi yang telah lama beredar sejak Juli 2020 yang tidak memiliki bukti yang mendasar. Selengkapnya pada bagian […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-covid-19-sudah-direncanakan-oleh-rockefeller-foundation-dan-orang-yang-divaksin-akan-dikontrol-ai/
Akun WhatsApp Pj Wali Kota Bogor Hery Antasari				,Hasil periksa fakta Rahmah. Diskominfo Bogor menegaskan nomor yang beredar merupakan modus penipuan. Segera melapor ke WhatsApp SiBadra di nomor 081196000060 jika menemukan nomor WhatsApp […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-akun-whatsapp-pj-wali-kota-bogor-hery-antasari/
Akun WhatsApp Kabag 3 Biro PBJ Prov Kaltim Sayid Awaluddin				,Hasil periksa fakta Rahmah. Biro PBJ Setda Prov Kaltim menegaskan nomor yang beredar bukan milik Sayid Awaluddin. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN ===SUMBER: WhatsApp ===NARASI:“0857 […],"Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-akun-whatsapp-kabag-3-biro-pbj-prov-kaltim-sayid-awaluddin/
“Akun Facebook Edwin Sumantha”				,"Akun palsu. Akun Facebook asli Kepala Biro Humas Setjen Kemhan RI, Edwin Adrian Sumantha adalah facebook.com/edwin.sumantha. Selengkapnya di bagian PENJELASAN dan REFERENSI.===========================================Kategori: Konten Tiruan=========================================== Beredar […]","Mei 16, 2024",https://turnbackhoax.id/2024/05/16/salah-akun-facebook-edwin-sumantha/
Video Seseorang Kibarkan Bendera Palestina di Puncak Piramida Mesir				,Hasil periksa fakta Panji Faktanya video seorang pendukung Palestina yang berada di puncak Piramida tersebut merupakan hasil rekayasa visual 3D saja yang dibuat oleh akun […],"Mei 15, 2024",https://turnbackhoax.id/2024/05/15/salah-video-seseorang-kibarkan-bendera-palestina-di-puncak-piramida-mesir/
"“Video, mata anak bengkak dan merah karena terlalu lama menggunakan HP”				","Hasil periksa fakta Yudho Ardi Informasi yang menyesatkan, faktanya Dokter Spesialis Mata, dr Ferdiriza Hamzah, Sp. M seperti membantah bahwa bermain HP dapat membuat mata […]","Mei 15, 2024",https://turnbackhoax.id/2024/05/15/salah-video-mata-anak-bengkak-dan-merah-karena-terlalu-lama-menggunakan-hp/
Ustadz Felix Siauw Bekerja Sama dengan Mo Salah Membagikan Rezeki Melalui Situs Slot				,Hasil periksa fakta Vendra Panji Faktanya video di Facebook yang menyebutkan Felix Siauw mendapat ajakan bekerja sama dengan Mo Salah untuk berbagi rejeki melalui situs […],"Mei 15, 2024",https://turnbackhoax.id/2024/05/15/salah-ustadz-felix-siauw-bekerja-sama-dengan-mo-salah-membagikan-rezeki-melalui-situs-slot/
SURAT REKRUTMEN KERJA OLEH PT KAI PERIODE MEI 2024				,Surat tersebut PALSU. Hal ini telah diklarifikasi langsung oleh pihak PT KAI. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN === SUMBER: TANGKAPAN LAYAR SURAT === NARASI: Kepada […],"Mei 15, 2024",https://turnbackhoax.id/2024/05/15/salah-surat-rekrutmen-kerja-oleh-pt-kai-periode-mei-2024/
Raffi Ahmad Berbagi Jam Tangan sebagai Perayaan Kemenangan Prabowo-Gibran				,"Hasil periksa fakta Panji Tidak benar bahwa Raffi Ahmad memberikan jam tangan mewah jika Prabowo menang, video tersebut sudah dimanipulasi menggunakan AI agar suara Raffi […]","Mei 15, 2024",https://turnbackhoax.id/2024/05/15/salah-raffi-ahmad-berbagi-jam-tangan-sebagai-perayaan-kemenangan-prabowo-gibran/
