berita,label
“prabowo menyambangi rumah megawati gibran diskualifikasi”,1
sekjen kpu bantah intimidasi rekayasa hasil verfak parpol,0
peningkatan frekuensi 5g mengaktifkan nanopartikel tubuh sebabkan cacar monyet vaksin,1
kemenpora galar kejuaraan tarkam kabupaten tebo,0
pdip jabar sentil gibran rakabuming urusan etika politik,0
akun facebook kbri singapore,1
foto antre beras 1965 2024 “sejarah terulang”,1
"tahapan seleksi calon guru penggerak ditutup besok, buruan daftar!",0
pesan wa “pinjam uang” pj wali kota pontianak,1
panggilan wa “pinjam dana” pjs bupati asahan,1
prediksi motor meluncur imos pekan,0
video gibran menyerukan takbir bayi,1
informasi open recruitment akun facebook “pt. pamapersada nusantara”,1
ratusan data pendukung partai prima rejang lebong dinyatakan tms,0
50 kisi-kisi tes kompetensi pppk teknis 2023 kunci jawabannya,0
gelombang 23 meter terjang selat sunda 15 mei 2024,1
"pilkada 2020, bawaslu: 541 kecamatan terkendala jaringan internet",0
link aktivasi dana paylater,1
"oppo find n3 resmi dirilis, layar kamera flagship",0
akun wa sekda bali 0895 2867 0787 dewa made indra,1
"waspada hoax pemilu, muncul editan ai",0
putin mengeluarkan dekrit penjualan alaska ilegal,1
video burung mati membeku akibat suhu minus 52 derajat xinjiang,1
keren! alat penyerap gas karbon berhasil mahasiswa ugm & dipantau real time,0
pesan wabup klaten anak muda sumpah pemuda ke-95,0
mobil jokowi dikepung massa akibat hina pendiri bangsa,1
"ma'ruf percepat kunker papua, rapat bareng jokowi istana",0
kpu: pasangan cagub perorangan menyerahkan dukungan,0
saleh daulay isu presiden 3 periode sehat-diskreditkan jokowi,0
“resmi! pssi putuskan piala aff masuk kalender timnas indonesia”,1
"lolos pemilu 2019, psi: mimpi",0
"menteri esdm buka-bukaan progres pembangunan smelter, realisasinya",0
"20 desa musnah seketika, 2305 rumah terkepung bencana banjir bandang kenya 26 april 2024",1
firli bahuri pemeriksaan diundur dewas kpk anggap,0
video ketua kpps madura dibacok,1
video pekerja hotel menahan pintu akibat topan yagi,1
sekjen pbb tawari anies baswedan posisi krusial,1
"kemarin, am fatwa tutup usia kang emil komentari aa gym",0
pembangunan manusia data presisi,0
anies baswedan masuk kristen politik,1
air rebusan arang sembuhkan asam lambung,1
akun tiktok tiruan bni sediakan layanan pinjaman online nomor whatsapp,1
prabowo pemilu 2024 curang,1
akun facebook “loker pegadaian”,1
400 diskotik diresmikan prabowo,1
"miliarder kritik produktivitas anak muda rendah, usul kerja 70 jam seminggu",0
"solusi atasi stunting, mahasiswa uns kembangkan enkapsulasi minyak sacha inchi",0
gibran dibawa kpk temuan bukti kuat,1
pemain hi-pass sadarkan terkena spike keras megawati hangestri,1
"prabowo-gibran daftar kpu, ihsg menguat 6.859,7",0
cairan batang pisang berkhasiat hancurkan batu ginjal,1
"15 ras anjing terbesar dunia, tingginya 1 meter",0
demo mahasiswa semarang dihujani gas asap beracun,1
pria perkosa sapi melahirkan anak manusia,1
video “china berhasil lakukan kloning babi sapi”,1
"singapura dinobatkan negara 'blue zone 2.0', menkesnya bingung",0
surat undangan rapat penetapan calon mitra kerja dinas perkebunan kaltim,1
joe biden as fokus kembangkan ai,0
“wapres stres narcoboi #gibranjujurlah #fufufafaadalahgibran”,1
8 jurusan kuliah minim hitungan,0
"loker helper, operator, driver pt petronesia benimel",1
video dampak bencana gempa tuban jawa timur,1
"perjalanan rosan roeslani: pengusaha, dubes, wamen, ketua tkn prabowo-gibran",0
rusuh demo 20 maret 2024 kpu,1
hadiah rp 700.000 pengguna brimo bri,1
profil partai keadilan persatuan indonesia (pkpi),0
danny menantunya masuk usulan calon ketua tpd ganjar-mahfud sulsel,0
giveaway tebus murah iphone disnakertrans kabupaten kuningan,1
luhut binsar panjaitan memarahi najwa shihab terkait postingan “peringatan darurat”,1
kpps jawa timur akui gelembungkan suara paslon 02,1
"10 ilmuwan muslim berpengaruh dunia, dokter ahli robotika",0
dialog video “hubungan prabowo gibran pasca-polemik fufufafa”,1
hancurnya pangkalan militer negev akibat serangan iran,1
"muncul baliho prabowo 'medan merdeka utara ya', gerindra: keren banget",0
istana negara ricuh hujan api,1
"direktur juventus: pemain berjudi diedukasi, dihukum",0
info upgrade card bjb prioritas,1
"cuaca jakarta panas, shandy aulia 'ngumpet' olahraga indoor",0
"jurusan ilmu komunikasi terbaik indonesia versi the wur by subject 2024, selamat!",0
suasana letusan gunung ruang sulawesi utara,1
kpu jember temukan anggota parpol memenuhi syarat,0
sesak napas akut sembuh pijat kaki,1
"pendaftaran kampus mengajar angkatan 7 dibuka, kuota 30.000 mahasiswa!",0
pipa rokok terapi kesehatan,1
pemkot bogor terbitkan perwali pedoman pelaksanaan ppdb,0
pemprov dki siapkan gor gudang logistik pemilu 2024,0
"sejarah kotabaru jogja, kawasan elite belanda konsep garden city",0
"bulutangkis gagal asian games, liem swie king: mesti introspeksi!",0
pemprov dki jakarta beberkan strategi kendalikan sampah,0
cak imin ambil keputusan nyatakan gabung prabowo gibran,1
kpu: dharma-kun lalui proses lolos verifikasi faktual,0
akun whatsapp wakil gubernur sulawesi “0823-3712-2040” tawarkan bantuan,1
teman ahok habiburokhman percaya 1 juta ktp,0
"1 anak murid valentino rossi motogp mandalika,",0
megawati hangestri dinobatkan pevoli terbaik dunia,1
"jelang debat vs mahfud cak imin, pendukung gibran pede alasan",0
brin buka pendaftaran international workshop ketahanan iklim & bencana,0
"air laut bak tsunami sapu pantai utara, jawa",1
prabowo berbagi speaker bluetooth syukur menang pilpres,1
didirikan pdi-p jokowi capres memenangkan pilpres,1
kisah bripka sandry pejuang pendidikan warga sorong,0
bamsoet diangkat dosen pascasarjana fakultas keamanan nasional unhan,0
kpu jateng lanjutkan tahapan pilkada serentak 21 kabupaten/kota,0
rocky gerung gabung pdip,1
campuran coca-cola bawang bombay ampuh obati diabetes,1
"startup akui ai musnahkan manusia diguyur rp 31,8 triliun",0
"saksi bts blak-blakan sebar duit miliaran: komisi i, menpora, bpk",0
benny rhamdani: hanura daftar verifikasi parpol kpu,0
"ppdb, pj gubernur banten verifikasi faktual tinggal calon siswa",0
ppp bintang lolos verifikasi kulon progo,0
zairin-sarwono lolos persyaratan jalur perseorangan pilkada samarinda,0
"raib 23 tahun, catatan tangan imam bonjol muncul payakumbuh",0
kim pdip: gibran faktor loyalitas politik,0
pengobatan ida dayak brebes,1
komunitas advokat lisan laporkan hakim arief hidayat mkmk,0
"haornas, kemenpora kolaborasi hsp ke-95",0
catur 3 emas indonesia penutupan asian games 2023,0
tentara merah cina mendarat bandara indonesia jam,1
"detik” istana terkepung, massa marah lakukan aksi brutal",1
detikcom beritakan “bank indonesia menyita rekening nadiem makarim”,1
saleh daulay cawapres gibran abaikan kampanye negatif,0
rian ernest batal maju pilkada batam,0
"singgung hoaks, wapres cerita kentut setan tingkat rt nasional",0
"santri nasional 2023: sejarah, tema, logo",0
akun facebook kemitraan grosir mayora group,1
tps kabupaten malang lakukan pemungutan suara ulang,0
"ahok, relawan, media ""kegenitan"" ketua gerindra dki",0
pelapor ketua mk melobi kolega muluskan putusan usia capres,0
video “detik-detik helikopter membawa presiden iran jatuh”,1
kpu dki pastikan alokasikan anggaran santunan badan ad hoc,0
anies baswedan berbicara lukisan orang tidur dikenal,1
emas antam keluaran 2010-2021 emas palsu,1
open recruitment bank tabungan negara (btn) 2024,1
menantu danny pomanto dr udin masuk radar calon ketua tpd ganjar-mahfud sulsel,0
anies anut 5 agama,1
"peringati sumpah pemuda, banom ppp kenalkan ganjar-mahfud gen z",0
gelombang 20 meter meluap memusnahkan yogyakarta 16 maret 2024,1
calon independen serahkan dukungan agustus,0
din: pelita fokus verifikasi peserta pemilu bangun koalisi,0
berkerumun texas anti-biden,1
psi apresiasi kpu jalankan verifikasi faktual,0
tangkapan layar judul berita detik: prabowo subianto terjunkan 80 kopasus penjagaan kejagung keluarga,1
arianti putri: emas asian games motivasi paralimpiade,0
"gelar nobar serentak film 'kejarlah janji', kpu raih 2 rekor muri",0
"fifa afc resmi sanksi timnas jepang, indonesia auto lolos piala dunia",1
"pemuda, politik era akselerasi",0
pesawat tempur su-27 rusia ditembak jatuh belgorod,1
bawaslu kabulkan gugatan prima terkait pendaftaran parpol,0
banjir bak tsunami sapu kota bandung,1
calon bupati bandung sahrul gunawan transfer rp20 juta pendukung,1
lowongan freelance like subscribe youtube,1
raffi ahmad giveaway uang 50.000 ringgit malaysia,1
"lombok sekarang!! gelombang tsunami sapu taman ayu lombok ini, 20 agustus 2024",1
gibran resmi ditangkap kkn,1
“tarif listrik mei 2024”,1
"“𝐏𝐫𝐨𝐠𝐫𝐚𝐦 𝐆𝐫𝐞𝐧𝐝 𝐏𝐫𝐢𝐳𝐞 𝐁𝐚𝐧𝐤 𝐁𝐒𝐈 𝐁𝐞𝐫𝐡𝐚𝐝𝐢𝐚𝐡 𝐇𝐚𝐝𝐢𝐫 𝐋𝐚𝐠𝐢, 𝐀𝐲𝐨 𝐁𝐮𝐫𝐮𝐚𝐧 𝐃𝐚𝐟𝐭𝐚𝐫 𝐌𝐞𝐧𝐚𝐧𝐠𝐤𝐚𝐧 𝐇𝐚𝐝𝐢𝐚𝐡 𝐔𝐭𝐚𝐦𝐚 𝐍𝐲𝐚”",1
covid-19 direncanakan rockefeller foundation orang divaksin dikontrol ai,1
kpu sepakat hitung ulang suara 34 provinsi,1
astronot nasa mendengar adzan angkasa,1
pemerintah fasilitasi pemberian alat kontrasepsi remaja,1
fifa bekukan federasi sepakbola guinea (fgf) akibat curang lawan indonesia,1
kpu kota gorontalo gelar pleno hasil verifikasi faktual,0
8 contoh penerapan semangat sumpah pemuda generasi muda,0
gambar jokowi membagikan takjil gratis,1
kolaborasi satgas ncs polri warga ciamis-tasikmalaya pemilu damai,0
gebyar undian berhadiah bank papua,1
akun whatsapp kapolres aceh timur nova suryandaru,1
raffi ahmad promosikan bisnis madu murni mata najwa,1
catat! pedagang online wajib lapor data bps 2024,0
mk kabulkan gugatan anies-muhaimin ganjar-mahfud,1
"kemarin, keppres penghentian ppkm verfak ulang partai ummat",0
temuan arkeologi tengkorak manusia zaman purba,1
jokowi promosi mukena hadiah menjelang habis jabatan,1
4.915 personel polisi-7 satgas amankan piala dunia u-17 solo,0
video “tsunami jepang 9 agustus 2024”,1
"warga panik, gunung merapi keluarkan suara mengerikan",1
menjajal 3 mobil hybrid lintasan suzuki sagara test track,0
"ketua mk ketok palu, pemilu diulang gibran",1
ribuan penggemar moge hadiri jambore nasional ii mbi bandung,0
video begal jalan sendang mulyo semarang 26 september 2024,1
"korea utara melarang kewarganegaraan israel, jepang, amerika mengikuti pariwisata musim dingin",1
nasib jembatan kaca indonesia jodipan malang retak,0
info lowongan kerja pt pegadaian agustus 2024,1
"atlet jetski aqsa aswar tanding tinju, banting setir?",0
tahu! tanda-tanda usia biologis tua ketimbang kronologis,0
harta gono-gini mantan istri/suami menghilang,0
"duh! ronaldo langgar pasal zina iran, terancam hukuman cambuk 99 kali",0
"detik² mengerikan!! badai dahsyat hantam jakarta, bekasi & malang 24/09/2024, porak poranda",1
teknologi anti banjir mobil mewah dubai,1
sembilan parpol nonparlemen pemilu 2024 lolos verifikasi jakbar,0
video “tentara cina sdh beraksi sdh berani melawan tentara kita”,1
fakultas ilmu keperawatan ui terbaik indonesia versi edurank 2023,0
informasi tiktok: pendaftaran lowongan kerja pertamina,1
akun whatsapp pj sekda kampar ahmad yuzar,1
infused water nanas sembuhkan jantung koroner,1
"asian games tuntas, kemenpora usulkan bonus presiden",0
prabowo ancam penghujat pemimpin berurusan aparatur negara,1
hasto cerita 3 periode permintaan lurah: pertanggungjawabkan,0
hasto ketum parpol jabatan 3 periode permintaan 'pak lurah',0
link lowongan kerja pt freeport facebook,1
kpu teliti administratif parpol 30,0
undian berhadiah mengatasnamakan bank victoria,1
eko patrio gelar giveaway uang 50 juta games tebak nama kota,1
"wapres ma'ruf berkantor papua 5 hari, kegiatannya",0
papandayan cargo luncurkan sistem tracking manajemen terbaru,0
"tradisi surat menyurat zaman now, kartu pos eksis",0
detik-detik bambang widjojanto ancam sidang hakim mk,1
bocoran daftar menteri prabowo – gibran,1
media massa miliki peran sukseskan pemilu 2024,0
inul bagikan motor susun,1
bantuan uang sekolah hary tanoe,1
jabar sepekan: pencarian enuh kematian wanita tangan kekasih,0
kpu: rasiyo-abror penuhi syarat peserta pilkada,0
"jokowi: posisi ri tegas, kekerasan gaza dihentikan!",0
foto “lumba-lumba merah muda langka pantai carolina utara”,1
"menjelang habis jabatan, jokowi hadiah rp500jt syarat share video 30 teman tiktok",1
detak jantung normal? angka denyut menit sesuai usia,0
palestina merdeka masuk daftar resmi pbb,1
"reog cemandi, warisan budaya benda sidoarjo",0
icw lokataru dijaga polisi kritis pemilu 2024,1
bom es menghancurkan ratusan rumah kota jombang 24 september 2024,1
yudo margono berkomitmen kawal netralitas tni politik,0
taylor swift bantuan dana,1
31 tim semarakkan turnamen tarkam sambut piala dunia u-17 surabaya,0
bala bantuan muslim cyber army kemenangan amin,1
cak imin peluk prabowo diduga menerima tawaran masuk kabinet,1
"jurusan ilmu komunikasi terbaik indonesia versi the wur by subject 2024, selamat!",0
jokowi undang 3 capres istana,0
kpu belitung verifikasi parpol calon peserta pemilu 2024,0
rdp mendagri dpr bahas verifikasi parpol,0
pbnu bentuk tim muktamar ke-34 nu,0
waka mpr: sejatinya perempuan tiang negara,0
video 2 kepiting raksasa muncul pantai kupang ntt,1
walkot tiket singapura turunkan hujan jokes,0
fapp ajukan terkait langsung mk,0
video tentara amerika dikerahkan gedung putih mencegah perang sipil januari 2024,1
daftar penerima anugerah kebudayaan indonesia 2023,0
undian berhadiah seabank,1
simak! dokter beberkan rahasia cegah penyakit stroke usia muda,0
pasangan calon konfirmasi daftar pilgub sumbar,0
foto dokter-dokter korea selatan mogok kerja februari 2024,1
calon dpd penuhi syarat pencalonan,0
kpu papua barat terima 15 pendaftar dpd ri,0
"cerita 2 guru ri ngajar sekolah korsel, kenalkan seni-makanan indonesia",0
video cak imin prabowo subianto selamat maret 2024,1
perusahaan swasta wajib geber digital bisnis berkelanjutan,0
hadiah 100 juta soimah games tangkap gambar,1
kpk bongkar dana tapera digelapkan ikn,1
bintang lolos verifikasi mukomuko,0
video jokowi membagikan bantuan 50jt tangkap layar menyesuaikan gambar bertuliskan 50jt,1
4 nama mencuat ketua tim prabowo-gibran sulsel: menteri-eks walkot,0
dukcapil rejang lebong perkuat alat rekam ktp elektronik,0
"video laporan bbc news bellingcat: duta ukraina, valerii zaluzhnyi, dibayar $53 tinggalkan peran duta inggris",1
video kim jong un antarkan koruptor masuk lubang berisi buaya,1
armand ketua triathlon indonesia,0
prosesi peletakan tumbal jokowi membangun ikn,1
suporter vietnam menyalakan kembang api hotel penginapan timnas indonesia,1
menkes budi lockdown pandemi great reset,1
peluncuran vaksin anak bangsa pengetatan verifikasi faktual,0
"menyambut ulang tahun, yamaha bagi-bagi hadiah 30 unit motor",1
"gunung slamet waspada, kawasan wisata baturraden buka",0
kemendagri akomodasi verifikasi faktual parpol,0
"langsung suzuki swift generasi terbaru jms 2023, kece banget!",0
donald trump ditampar berpidato,1
sah! sate blengong dinobatkan warisan budaya takbenda,0
"status gibran pdip, puan: baik-baik",0
jurus bluebird bantu taksi lokal bangkit hadapi tantangan era disrupsi,0
jusuf hamka seret menkeu kpk hutang negara,1
fakta peringatan pos sedunia 9 oktober 2023,0
himbauan mematikan gadget 00.30 3.30 pancaran radiasi cahaya kosmik,1
wakil ketua dpr kominfo polri dalami ilham bintang,0
pasien rsud abepura terinfeksi mpox,1
kpu proses verifikasi faktual,0
anggota dkpp: kpu-bawaslu gamang terapkan protokol covid-19,0
cabup petahana ajak warga kabupaten malang hak pilih,0
video “nangis..!! nenek tarwiyah dijemput polisi”,1
pengamat prabowo-gibran dulang suara nu cawe-cawe jokowi,0
kisah abdur arsyad dicap mahasiswa ajar dibully,0
metro tv beritakan oresiden jokowi gelar amirul kazzab kerajaan arab saudi,1
puskesmas kuta utara giveaway iphone instagram,1
kpu ri pendampingan parpol tata penggunaan silon,0
"cak imin: saingan kuat segalanya, tapi..",0
"berita terkini ~ bikin negara maju, jokowi dituntut mundur jabatan",1
akun facebook wakil bupati gorontalo hendra hemeto menawarkan donasi,1
"genjot kesehatan ginjal, batugin-dispora tangerang gelar senam",0
akun whatsapp sekda bogor bantuan pembangunan masjid,1
tawaran lowongan kerja puskesmas mulyorejo,1
"10 ide kegiatan memperingati sumpah pemuda 2023, seru bermakna",0
"3 hidden gem sarkem nih gaes, toko buku unik-bangkai pesawat hotel",0
kpu surakarta laksanakan coklit dpt juli 2020,0
lowongan kerja pt tunaskarya indoswasta,1
eko patrio bagikan uang 70 juta tangkap gambar,1
jejak rumah kapiten tan jin sing kampung ketandan jogja,0
merokok menjadikan luka operasi khitan cepat kering,1
giveaway tiktok jusuf hamka spesial kemerdekaan ke-79,1
"yamaha aerox 155 'jubah' imos 2023, segini harganya",0
anies ketua tim pemenangan: nggak spekulasi nyebut nama,0
"20 jajanan anak sekolah terfavorit murah enak, telur gulung!",0
misi pb porlasi bangkitkan olahraga layar indonesia,0
akun facebook ketua kpu mimika “abagau dete”,1
